HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
110380	12 41 39.60	-01 26 58.0	 3.68	Porrima	Virgo	gamma
94264	10 53 18.64	+34 12 56.0	 3.79	Praecipua	Leo Minor	46
73731	08 40 27.03	+19 32 41.4	 6.29	Prezepe	Cancer	epsilon
192876	20 17 38.86	-12 30 29.6	 4.30	Prima Giedi; Algiedi Prima; Algedi	Capricornus	alpha
135722	15 15 30.10	+33 18 54.4	 3.46	Printseps	Bootes	delta
61421	07 39 18.54	+05 13 39.0	 0.40	Procyon	Canis Minor	alpha
128621	14 39 39.39	-60 50 22.1	 1.35	Proksima Kentavra	Centaurus	alpha
41116	06 04 07.22	+23 15 49.1	 4.16	Propus	Gemini	1
42995	06 14 52.70	+22 30 24.6	 3.31	Propus	Gemini	eta
58207	07 25 43.68	+27 47 53.8	 3.78	Propus	Gemini	iota
23249	03 43 14.96	-09 45 54.7	 3.52	Rana	Eridanus	delta
156014	17 14 38.86	+14 23 24.9	 2.78	Ras Al'geti	Hercules	alpha
84441	09 45 51.10	+23 46 27.4	 2.97	Ras Elased Australis	Leo	epsilon
85503	09 52 45.96	+26 00 25.5	 3.88	Rasalas	Leo	mu
159561	17 34 56.00	+12 33 38.1	 2.08	Rasalhague	Ophiucus	alpha
159181	17 30 25.98	+52 18 04.9	 2.79	Rastaban	Draco	beta
68273	08 09 31.96	-47 20 11.8	 1.75	Regor	Vela	gamma
87901	10 08 22.46	+11 58 01.9	 1.36	Regulus	Leo	alpha
34085	05 14 32.27	-08 12 05.9	 0.18	Rigel	Orion	beta
129502	14 43 03.56	-05 39 26.7	 3.87	Rijl al Awwa	Virgo	mu
196524	20 37 32.87	+14 35 42.7	 3.64	Rotanev	Delphinus	beta
195556	20 30 03.53	+48 57 05.6	 4.94	Ruchba	Cygnus	omega
181869	19 23 53.15	-40 36 56.3	 3.96	Rukbat	Sagittarius	alpha
195774	20 31 18.81	+49 13 13.3	 5.44	Rukbat al-dajajah; Al Rukbah al Dajajah	Cygnus	omega
155125	17 10 22.66	-15 43 30.5	 2.43	Sabik	Ophiucus	eta
212061	22 21 39.30	-01 23 14.5	 3.86	Sadachbia	Aquarius	gamma
216131	22 50 00.10	+24 36 06.1	 3.51	Sadalbari	Pegasus	mu
209750	22 05 47.03	-00 19 11.4	 2.95	Sadalmelek	Aquarius	alpha
204867	21 31 33.52	-05 34 16.2	 2.90	Sadalsuud	Aquarius	beta
194093	20 22 13.70	+40 15 24.1	 2.23	Sadr	Cygnus	gamma
38771	05 47 45.39	-09 40 10.6	 2.07	Saiph	Orion	kappa
159532	17 37 19.13	-42 59 52.2	 1.86	Sargas	Scorpius	theta
156164	17 15 01.92	+24 50 22.5	 3.12	Sarin	Hercules	delta
29503	04 38 10.87	-14 18 12.9	 3.86	Sceptrum	Eridanus	53
217906	23 03 46.33	+28 04 56.8	 2.44	Scheat	Pegasus	beta
11415	01 54 23.68	+63 40 12.5	 3.35	Segin	Cassiopeia	epsilon
185758	19 40 05.78	+18 00 50.2	 4.39	Sham	Sagitta	alpha
158926	17 33 36.53	-37 06 13.5	 1.62	Shaula	Scorpius	lambda
3712	00 40 30.39	+56 32 14.7	 2.24	Shedir	Cassiopeia	alpha
174638	18 50 04.79	+33 21 45.6	 3.52	Sheliak	Lyra	beta
11636	01 54 38.35	+20 48 29.9	 2.64	Sheratan	Aries	beta
163917	17 59 01.60	-09 46 24.1	 3.32	Sinistra	Ophiucus	nu
48915	06 45 09.25	-16 42 47.3	-1.44	Sirius	Canis Major	alpha
214376	22 37 45.42	-04 13 39.9	 5.04	Situla	Aquarius	kappa
216627	22 54 39.04	-15 49 14.7	 3.27	Skat	Aquarius	delta
116658	13 25 11.60	-11 09 40.5	 0.98	Spica	Virgo	alpha
23441	03 46 02.89	+24 31 40.8	 6.43	Sterope II	Taurus	22
83808	09 41 09.12	+09 53 32.6	 3.52	Subra	Leo	omicron
176437	18 58 56.62	+32 41 22.4	 3.25	Sulafat	Lyra	gamma
196867	20 39 38.25	+15 54 43.4	 3.77	Svalocin	Delphinus	alpha
124850	14 16 00.88	-05 59 58.3	 4.07	Syrma	Virgo	iota
30652	04 49 50.14	+06 57 40.5	 3.19	Tabit	Orion	pi
23338	03 45 12.48	+24 28 02.6	 4.30	Tajgeta	Taurus	19
76644	08 59 12.84	+48 02 32.5	 3.12	Talitha	Ursa Major	iota
89758	10 22 19.80	+41 29 58.0	 3.06	Tania Australis	Ursa Major	mu
89021	10 17 05.93	+42 54 52.1	 3.45	Tania Borealis	Ursa Major	lambda
186791	19 46 15.57	+10 36 47.8	 2.72	Tarazed	Aquila	gamma
69267	08 16 30.95	+09 11 08.4	 3.53	Tarf	Cancer	beta
68257	08 12 12.70	+17 38 52.0	 6.02	Tegmen; Tegmine	Cancer	dzeta
44478	06 22 57.59	+22 30 49.9	 2.87	Tejat Posterior	Gemini	mu
188376	19 55 50.23	-26 17 58.9	 4.70	Terebell	Sagittarius	omega
188603	19 56 56.82	-27 10 11.5	 4.54	Terebellum	Sagittarius	59
189005	19 58 57.18	-26 11 45.0	 4.84	Terebellum	Sagittarius	60
189763	20 02 39.46	-27 42 35.6	 4.43	Terebellum	Sagittarius	62
36512	05 31 55.86	-07 18 05.5	 4.62	Thabit; Tabit	Orion	upsilon
29291	04 35 33.07	-30 33 44.3	 3.81	Theemin	Eridanus	upsilon
123299	14 04 23.43	+64 22 32.9	 3.67	Thuban	Draco	alpha
128620	14 39 40.90	-60 50 06.5	-0.01	Toliman	Centaurus	alpha
10761	01 45 23.59	+09 09 27.5	 4.26	Torcularis Septentrionalis	Pisces	omicron
161096	17 43 28.38	+04 34 00.9	 2.76	Tsel'bal'raj	Ophiucus	beta
188119	19 48 10.21	+70 16 04.2	 3.84	Tyl	Draco	epsilon
172167	18 36 56.19	+38 46 58.8	 0.03	Vega	Lyra	alpha
113226	13 02 10.76	+10 57 32.8	 2.85	Vindemiatrix	Virgo	epsilon
56986	07 20 07.39	+21 58 56.4	 3.50	Wasat	Gemini	delta
39425	05 50 57.55	-35 46 09.5	 3.12	Wazn	Columba	beta
54605	07 08 23.49	-26 23 35.5	 1.83	Wezen	Canis Major	delta
146791	16 18 19.24	-04 41 33.4	 3.23	Yed Posterior	Ophiucus	epsilon
146051	16 14 20.77	-03 41 38.3	 2.73	Yed Prior	Ophiucus	delta
166205	17 32 12.90	+86 35 10.8	 4.35	Yildun	Ursa Minor	delta
107259	12 19 54.39	-00 40 00.3	 3.89	Zaniah	Virgo	eta
